	BR	PCC_H	PCC_M	PCC_S
AUC 1	[0.682945736434, 0.670345961102]	[0.682945736434, 0.670345961102]	[0.6841982856, 0.67986687787]	[0.673745915818, 0.674700936739]
AUC 2	[0.581040356394, 0.593684738793]	[0.572517848181, 0.575812852023]	[0.573474809551, 0.578097249556]	[0.502490997879, 0.46892215957]
AUC 3	[0.669696532487, 0.650912609259]	[0.656339291647, 0.649147727273]	[0.660949978983, 0.65456862868]	[0.670078160036, 0.648465134467]
H	[536, 529]	[534, 521]	[527, 511]	[575, 580]
H 1	[155, 164]	[155, 164]	[154, 160]	[162, 166]
H 2	[213, 205]	[216, 212]	[213, 211]	[246, 264]
H 3	[168, 160]	[163, 145]	[160, 140]	[167, 150]
P 1	[0.725694444444, 0.639484978541]	[0.725694444444, 0.639484978541]	[0.75, 0.690987124464]	[0.666666666667, 0.510729613734]
P 2	[0.660944206009, 0.534351145038]	[0.630901287554, 0.576335877863]	[0.570815450644, 0.572519083969]	[0.420600858369, 0.526717557252]
P 3	[0.746031746032, 0.675862068966]	[0.603174603175, 0.510344827586]	[0.592592592593, 0.462068965517]	[0.740740740741, 0.572413793103]
R 1	[0.733333333333, 0.650655021834]	[0.733333333333, 0.650655021834]	[0.724832214765, 0.646586345382]	[0.744186046512, 0.695906432749]
R 2	[0.534722222222, 0.627802690583]	[0.530685920578, 0.599206349206]	[0.540650406504, 0.602409638554]	[0.468899521531, 0.496402877698]
R 3	[0.540229885057, 0.464454976303]	[0.564356435644, 0.5]	[0.574358974359, 0.519379844961]	[0.542635658915, 0.485380116959]
S	[389, 383]	[388, 376]	[389, 380]	[317, 322]
